hostile_blocked,hostile_forwarded,hostile_generated,id,innocent_blocked,innocent_forwarded,innocent_generated
335,33,368,0,0,29,208
336,31,367,1,0,29,227
327,32,359,2,0,29,209
328,34,362,3,0,29,212
331,28,359,4,0,29,217
327,31,358,5,0,29,224
324,32,356,6,0,29,213
320,31,351,7,0,29,205
313,36,349,8,0,29,205
322,27,349,9,0,30,212
308,34,342,10,0,29,206
314,32,346,11,0,29,215
318,32,350,12,0,30,204
316,29,345,13,0,29,200
319,33,352,14,0,30,210
324,34,358,15,0,30,223
333,33,366,16,0,29,203
332,30,362,17,0,29,202
336,27,363,18,0,29,219
325,33,358,19,0,29,219
