hostile_blocked,hostile_forwarded,hostile_generated,id,innocent_blocked,innocent_forwarded,innocent_generated
296,1,297,0,20,4,208
304,1,305,1,20,4,208
297,1,298,2,20,4,227
298,1,299,3,20,4,216
302,1,303,4,20,4,213
300,0,300,5,19,5,214
303,1,304,6,20,4,211
302,1,303,7,20,4,218
301,1,303,8,20,4,212
286,1,287,9,20,4,206
281,1,282,10,20,4,213
285,1,286,11,20,4,201
308,1,309,12,20,4,224
289,1,290,13,20,4,203
297,1,298,14,20,4,212
306,1,307,15,20,4,209
297,1,298,16,20,4,225
303,1,304,17,20,4,220
301,1,302,18,20,3,220
303,1,304,19,20,4,194
